PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,No. of all inlinks,First found at
0,https://www.newyorkspecialed.net/districts/rochester-city-sd/cse-meeting-guide/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/rochester-city-sd/leadership-directory.html
0,https://www.newyorkspecialed.net/districts/nyc-district-06-washington-heights/evaluation-process/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/nyc-district-06-washington-heights/leadership-directory.html
0,https://www.newyorkspecialed.net/districts/nyc-district-02-upper-east-side/cse-meeting-guide/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/nyc-district-02-upper-east-side/cse-meeting-guide.html
0,https://www.newyorkspecialed.net/districts/nyc-district-10-riverdale/partners/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-10-riverdale/cse-meeting-guide.html
0,https://www.newyorkspecialed.net/districts/nyc-district-14-williamsburg/leadership-directory/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-14-williamsburg/cse-meeting-guide.html
0,https://www.newyorkspecialed.net/districts/nyc-district-18-east-flatbush/evaluation-process/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-18-east-flatbush/discipline-rights.html
0,https://www.newyorkspecialed.net/districts/utica-city-sd/evaluation-process/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/utica-city-sd/cse-meeting-guide.html
0,https://www.newyorkspecialed.net/districts/nyc-district-13-brooklyn-heights/parent-advocacy-guide/,,text/plain; charset=utf-8,false,404,0,1,false,2,https://www.newyorkspecialed.net/districts/nyc-district-13-brooklyn-heights/partners.html
0,https://www.newyorkspecialed.net/districts/nyc-district-19-east-new-york/parent-advocacy-guide/,,text/plain; charset=utf-8,false,404,0,1,false,4,https://www.newyorkspecialed.net/districts/nyc-district-19-east-new-york/partners.html
0,https://www.newyorkspecialed.net/districts/nyc-district-21-coney-island/evaluation-process/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-21-coney-island/partners.html
0,https://www.newyorkspecialed.net/districts/yonkers-city-sd/discipline-rights/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/yonkers-city-sd/evaluation-process.html
0,https://www.newyorkspecialed.net/districts/poughkeepsie-city-sd/parent-advocacy-guide/,,text/plain; charset=utf-8,false,404,0,1,false,4,https://www.newyorkspecialed.net/districts/poughkeepsie-city-sd/partners.html
0,https://www.newyorkspecialed.net/districts/hempstead-ufsd/cse-meeting-guide/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/hempstead-ufsd/evaluation-process.html
0,https://www.newyorkspecialed.net/districts/albany-city-sd/parent-advocacy-guide/,,text/plain; charset=utf-8,false,404,0,1,false,2,https://www.newyorkspecialed.net/districts/albany-city-sd/partners.html
0,https://www.newyorkspecialed.net/districts/nyc-district-31-staten-island/partners/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/nyc-district-31-staten-island/discipline-rights.html
0,https://www.newyorkspecialed.net/districts/nyc-district-08-throgs-neck/partners/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-08-throgs-neck/cse-meeting-guide.html
0,https://www.newyorkspecialed.net/districts/buffalo-city-sd/partners/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/buffalo-city-sd/evaluation-process.html
0,https://www.newyorkspecialed.net/districts/schenectady-city-sd/cse-meeting-guide/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/schenectady-city-sd/evaluation-process.html
0,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/partners/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/leadership-directory.html
0,https://www.newyorkspecialed.net/districts/william-floyd-ufsd/special-ed-updates/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/william-floyd-ufsd/discipline-rights.html
0,https://www.newyorkspecialed.net/districts/brentwood-ufsd/leadership-directory/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/brentwood-ufsd/leadership-directory.html
0,https://www.newyorkspecialed.net/districts/rochester-city-sd/leadership-directory/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/rochester-city-sd/leadership-directory.html
0,https://www.newyorkspecialed.net/districts/albany-city-sd/leadership-directory/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/albany-city-sd/discipline-rights.html
0,https://www.newyorkspecialed.net/districts/nyc-district-24-maspeth/parent-advocacy-guide/,,text/plain; charset=utf-8,false,404,0,1,false,2,https://www.newyorkspecialed.net/districts/nyc-district-24-maspeth/parent-advocacy-guide.html
0,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/cse-meeting-guide/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-12-soundview/leadership-directory.html
0,https://www.newyorkspecialed.net/districts/brentwood-ufsd/evaluation-process/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/brentwood-ufsd/leadership-directory.html
0,https://www.newyorkspecialed.net/districts/nyc-district-25-flushing/leadership-directory/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-25-flushing/parent-advocacy-guide.html
0,https://www.newyorkspecialed.net/districts/greece-csd/evaluation-process/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/greece-csd/discipline-rights.html
0,https://www.newyorkspecialed.net/districts/nyc-district-79/partners/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-79/cse-meeting-guide.html
0,https://www.newyorkspecialed.net/districts/white-plains-city-sd/parent-advocacy-guide/,,text/plain; charset=utf-8,false,404,0,1,false,4,https://www.newyorkspecialed.net/districts/white-plains-city-sd/partners.html
0,https://www.newyorkspecialed.net/districts/brentwood-ufsd/special-ed-updates/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/brentwood-ufsd/leadership-directory.html
0,https://www.newyorkspecialed.net/districts/nyc-district-16-bed-stuy/parent-advocacy-guide/,,text/plain; charset=utf-8,false,404,0,1,false,4,https://www.newyorkspecialed.net/districts/nyc-district-16-bed-stuy/partners.html
0,https://www.newyorkspecialed.net/districts/nyc-district-27-rockaway/special-ed-updates/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-27-rockaway/discipline-rights.html
0,https://www.newyorkspecialed.net/districts/nyc-district-75/parent-advocacy-guide/,,text/plain; charset=utf-8,false,404,0,1,false,2,https://www.newyorkspecialed.net/districts/nyc-district-75/partners.html
0,https://www.newyorkspecialed.net/districts/sachem-csd/parent-advocacy-guide/,,text/plain; charset=utf-8,false,404,0,1,false,4,https://www.newyorkspecialed.net/districts/sachem-csd/
0,https://www.newyorkspecialed.net/districts/nyc-district-26-bayside/leadership-directory/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/nyc-district-26-bayside/parent-advocacy-guide.html
0,https://www.newyorkspecialed.net/districts/nyc-district-08-throgs-neck/leadership-directory/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-08-throgs-neck/cse-meeting-guide.html
0,https://www.newyorkspecialed.net/districts/nyc-district-21-coney-island/partners/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-21-coney-island/partners.html
0,https://www.newyorkspecialed.net/districts/nyc-district-04-east-harlem/evaluation-process/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/nyc-district-04-east-harlem/leadership-directory.html
0,https://www.newyorkspecialed.net/districts/poughkeepsie-city-sd/evaluation-process/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/poughkeepsie-city-sd/partners.html
0,https://www.newyorkspecialed.net/districts/syracuse-city-sd/evaluation-process/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/syracuse-city-sd/partners.html
0,https://www.newyorkspecialed.net/districts/new-rochelle-city-sd/leadership-directory/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/new-rochelle-city-sd/leadership-directory.html
0,https://www.newyorkspecialed.net/districts/niagara-falls-city-sd/cse-meeting-guide/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/niagara-falls-city-sd/
0,https://www.newyorkspecialed.net/districts/nyc-district-08-throgs-neck/cse-meeting-guide/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-08-throgs-neck/cse-meeting-guide.html
0,https://www.newyorkspecialed.net/districts/yonkers-city-sd/partners/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/yonkers-city-sd/evaluation-process.html
0,https://www.newyorkspecialed.net/districts/nyc-district-11-pelham-parkway/discipline-rights/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-11-pelham-parkway/cse-meeting-guide.html
0,https://www.newyorkspecialed.net/districts/nyc-district-29-queens-village/evaluation-process/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-29-queens-village/special-ed-updates.html
0,https://www.newyorkspecialed.net/districts/nyc-district-01-lower-east-side/cse-meeting-guide/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/nyc-district-01-lower-east-side/cse-meeting-guide.html
0,https://www.newyorkspecialed.net/districts/niagara-falls-city-sd/parent-advocacy-guide/,,text/plain; charset=utf-8,false,404,0,1,false,4,https://www.newyorkspecialed.net/districts/niagara-falls-city-sd/
0,https://www.newyorkspecialed.net/districts/nyc-district-26-bayside/partners/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/nyc-district-26-bayside/parent-advocacy-guide.html
0,https://www.newyorkspecialed.net/districts/nyc-district-22-midwood/partners/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/nyc-district-22-midwood/special-ed-updates.html
0,https://www.newyorkspecialed.net/districts/nyc-district-24-maspeth/partners/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/nyc-district-24-maspeth/parent-advocacy-guide.html
0,https://www.newyorkspecialed.net/districts/nyc-district-75/special-ed-updates/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/nyc-district-75/partners.html
0,https://www.newyorkspecialed.net/districts/nyc-district-18-east-flatbush/partners/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-18-east-flatbush/discipline-rights.html
0,https://www.newyorkspecialed.net/districts/freeport-ufsd/leadership-directory/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/freeport-ufsd/partners.html
0,https://www.newyorkspecialed.net/districts/greece-csd/partners/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/greece-csd/discipline-rights.html
0,https://www.newyorkspecialed.net/districts/hempstead-ufsd/evaluation-process/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/hempstead-ufsd/evaluation-process.html
0,https://www.newyorkspecialed.net/districts/nyc-district-23-brownsville/evaluation-process/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-23-brownsville/cse-meeting-guide.html
0,https://www.newyorkspecialed.net/districts/nyc-district-05-central-harlem/evaluation-process/,,text/plain; charset=utf-8,false,404,0,1,false,10,https://www.newyorkspecialed.net/districts/nyc-district-05-central-harlem/special-ed-updates.html
0,https://www.newyorkspecialed.net/districts/nyc-district-05-central-harlem/parent-advocacy-guide/,,text/plain; charset=utf-8,false,404,0,1,false,2,https://www.newyorkspecialed.net/districts/nyc-district-05-central-harlem/partners.html
0,https://www.newyorkspecialed.net/districts/nyc-district-17-crown-heights/partners/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/nyc-district-17-crown-heights/cse-meeting-guide.html
0,https://www.newyorkspecialed.net/districts/sachem-csd/partners/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/sachem-csd/evaluation-process.html
0,https://www.newyorkspecialed.net/districts/poughkeepsie-city-sd/discipline-rights/,,text/plain; charset=utf-8,false,404,0,1,false,9,https://www.newyorkspecialed.net/districts/poughkeepsie-city-sd/partners.html
